	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積	URL
0	勝どきザ・タワー	東京都中央区勝どき５	都営大江戸線/勝どき駅 歩6分	東京メトロ有楽町線/月島駅 歩12分	東京メトロ日比谷線/築地駅 歩16分	築1年	10階建	13階	20.5万円	-	20.5万円/20.5万円/-/-	1LDK	42.04m	https://suumo.jp/chintai/jnc_000041057199/?bc=100124119361
1	勝どきザ・タワー	東京都中央区勝どき５	都営大江戸線/勝どき駅 歩6分	東京メトロ有楽町線/月島駅 歩12分	東京メトロ日比谷線/築地駅 歩16分	築1年	10階建	30階	22万円	-	44万円/22万円/-/-	1LDK	58.25m	https://suumo.jp/chintai/jnc_000041057199/?bc=100124119361
2	勝どきザ・タワー	東京都中央区勝どき５	都営大江戸線/勝どき駅 歩6分	東京メトロ有楽町線/月島駅 歩12分	東京メトロ日比谷線/築地駅 歩16分	築1年	10階建	39階	24万円	-	24万円/24万円/-/-	1LDK	49.95m	https://suumo.jp/chintai/jnc_000041057199/?bc=100124119361
3	勝どきザ・タワー	東京都中央区勝どき５	都営大江戸線/勝どき駅 歩6分	東京メトロ有楽町線/月島駅 歩12分	東京メトロ日比谷線/築地駅 歩16分	築1年	10階建	39階	23.8万円	14000円	23.8万円/23.8万円/-/-	1SLDK	58.94m	https://suumo.jp/chintai/jnc_000041057199/?bc=100124119361
4	勝どきザ・タワー	東京都中央区勝どき５	都営大江戸線/勝どき駅 歩6分	東京メトロ有楽町線/月島駅 歩12分	東京メトロ日比谷線/築地駅 歩16分	築1年	10階建	22階	24.5万円	20000円	24.5万円/24.5万円/-/-	2LDK	58.94m	https://suumo.jp/chintai/jnc_000041057199/?bc=100124119361
5	勝どきザ・タワー	東京都中央区勝どき５	都営大江戸線/勝どき駅 歩6分	東京メトロ有楽町線/月島駅 歩12分	東京メトロ日比谷線/築地駅 歩16分	築1年	10階建	20階	26万円	20000円	26万円/26万円/-/-	2LDK	68.62m	https://suumo.jp/chintai/jnc_000041057199/?bc=100124119361
6	勝どきザ・タワー	東京都中央区勝どき５	都営大江戸線/勝どき駅 歩6分	東京メトロ有楽町線/月島駅 歩12分	東京メトロ日比谷線/築地駅 歩16分	築1年	10階建	14階	28.5万円	-	57万円/28.5万円/-/-	3LDK	76.14m	https://suumo.jp/chintai/jnc_000041057199/?bc=100124119361
7	勝どきザ・タワー	東京都中央区勝どき５	都営大江戸線/勝どき駅 歩6分	東京メトロ有楽町線/月島駅 歩12分	東京メトロ日比谷線/築地駅 歩16分	築1年	10階建	44階	27.5万円	15000円	27.5万円/27.5万円/-/-	3LDK	78.02m	https://suumo.jp/chintai/jnc_000041057199/?bc=100124119361
8	勝どきザ・タワー	東京都中央区勝どき５	都営大江戸線/勝どき駅 歩6分	東京メトロ有楽町線/月島駅 歩12分	東京メトロ日比谷線/築地駅 歩16分	築1年	10階建	14階	28.5万円	15000円	57万円/28.5万円/-/-	3LDK	76.14m	https://suumo.jp/chintai/jnc_000041057199/?bc=100124119361
9	勝どきザ・タワー	東京都中央区勝どき５	都営大江戸線/勝どき駅 歩6分	東京メトロ有楽町線/月島駅 歩12分	東京メトロ日比谷線/築地駅 歩16分	築1年	10階建	27階	28万円	20000円	28万円/28万円/-/-	2LDK	67.86m	https://suumo.jp/chintai/jnc_000041057199/?bc=100124119361
10	勝どきザ・タワー	東京都中央区勝どき５	都営大江戸線/勝どき駅 歩6分	東京メトロ有楽町線/月島駅 歩12分	東京メトロ日比谷線/築地駅 歩16分	築1年	10階建	14階	35万円	-	35万円/35万円/-/-	4LDK	84.6m	https://suumo.jp/chintai/jnc_000041057199/?bc=100124119361
11	勝どきザ・タワー	東京都中央区勝どき５	都営大江戸線/勝どき駅 歩6分	東京メトロ有楽町線/月島駅 歩12分	東京メトロ日比谷線/築地駅 歩16分	築1年	10階建	33階	37万円	-	74万円/37万円/-/-	2LDK	79.84m	https://suumo.jp/chintai/jnc_000041057199/?bc=100124119361
12	勝どきザ・タワー	東京都中央区勝どき５	都営大江戸線/勝どき駅 歩6分	東京メトロ有楽町線/月島駅 歩12分	東京メトロ日比谷線/築地駅 歩16分	築1年	10階建	45階	46万円	-	92万円/-/-/-	2LDK	86.44m	https://suumo.jp/chintai/jnc_000041057199/?bc=100124119361
13	勝どきザ・タワー	東京都中央区勝どき５	都営大江戸線/勝どき駅 歩6分	東京メトロ有楽町線/月島駅 歩12分	東京メトロ日比谷線/築地駅 歩16分	築1年	10階建	53階	60万円	-	60万円/60万円/-/-	2LDK	90.84m	https://suumo.jp/chintai/jnc_000041057199/?bc=100124119361
14	リバーシティ21イーストタワーズ10棟	東京都中央区佃２	東京メトロ有楽町線/月島駅 歩5分	ＪＲ京葉線/八丁堀駅 歩15分	東京メトロ東西線/門前仲町駅 歩15分	築1年	10階建	2階	15.8万円	10000円	15.8万円/-/-/-	1LDK	49.77m	https://suumo.jp/chintai/jnc_000041340442/?bc=100123098561
15	リバーシティ21イーストタワーズ10棟	東京都中央区佃２	東京メトロ有楽町線/月島駅 歩5分	ＪＲ京葉線/八丁堀駅 歩15分	東京メトロ東西線/門前仲町駅 歩15分	築1年	10階建	2階	16.3万円	10000円	16.3万円/-/-/-	1LDK	49.77m	https://suumo.jp/chintai/jnc_000041340442/?bc=100123098561
16	リバーシティ21イーストタワーズ10棟	東京都中央区佃２	東京メトロ有楽町線/月島駅 歩5分	ＪＲ京葉線/八丁堀駅 歩15分	東京メトロ東西線/門前仲町駅 歩15分	築1年	10階建	10階	19.1万円	10000円	19.1万円/-/-/-	2LDK	63.88m	https://suumo.jp/chintai/jnc_000041340442/?bc=100123098561
17	リバーシティ21イーストタワーズ10棟	東京都中央区佃２	東京メトロ有楽町線/月島駅 歩5分	ＪＲ京葉線/八丁堀駅 歩15分	東京メトロ東西線/門前仲町駅 歩15分	築1年	10階建	5階	22.9万円	10000円	22.9万円/-/-/-	2LDK	86.8m	https://suumo.jp/chintai/jnc_000041340442/?bc=100123098561
18	リバーシティ21イーストタワーズ10棟	東京都中央区佃２	東京メトロ有楽町線/月島駅 歩5分	ＪＲ京葉線/八丁堀駅 歩15分	東京メトロ東西線/門前仲町駅 歩15分	築1年	10階建	5階	24.9万円	10000円	24.9万円/-/-/-	2LDK	82.58m	https://suumo.jp/chintai/jnc_000041340442/?bc=100123098561
19	リバーシティ21イーストタワーズ10棟	東京都中央区佃２	東京メトロ有楽町線/月島駅 歩5分	ＪＲ京葉線/八丁堀駅 歩15分	東京メトロ東西線/門前仲町駅 歩15分	築1年	10階建	13階	28.9万円	10000円	28.9万円/-/-/-	3LDK	82.73m	https://suumo.jp/chintai/jnc_000041340442/?bc=100123098561
20	リバーシティ21イーストタワーズ10棟	東京都中央区佃２	東京メトロ有楽町線/月島駅 歩5分	ＪＲ京葉線/八丁堀駅 歩15分	東京メトロ東西線/門前仲町駅 歩15分	築1年	10階建	26階	30万円	10000円	30万円/-/-/-	3LDK	82.73m	https://suumo.jp/chintai/jnc_000041340442/?bc=100123098561
21	Le Cocon 人形町	東京都中央区日本橋富沢町	東京メトロ日比谷線/人形町駅 歩4分	都営新宿線/浜町駅 歩5分	東京メトロ半蔵門線/水天宮前駅 歩7分	築1年	10階建	6階	16万円	10000円	16万円/32万円/-/-	1LDK	40.5m	https://suumo.jp/chintai/jnc_000041039934/?bc=100124140713
22	ラクラス月島	東京都中央区月島４	東京メトロ有楽町線/月島駅 歩4分	都営大江戸線/勝どき駅 歩6分	ＪＲ京葉線/越中島駅 歩18分	築1年	10階建	6階	11.1万円	8000円	11.1万円/11.1万円/-/-	1K	26.52m	https://suumo.jp/chintai/jnc_000040611827/?bc=100125419117
