	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積
0	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	築4年	3階建	4階	11.2万円	8000円	-/-/11.2万円/-	3DK	54.65m
1	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	築4年	3階建	4階	11.2万円	8000円	-/-/-/-	3DK	53.76m
2	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	築4年	3階建	3階	11.4万円	8000円	-/-/-/-	3DK	54.78m
3	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	築4年	3階建	3階	11.5万円	8000円	-/-/-/-	3DK	56.16m
4	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	築4年	3階建	4階	12.2万円	8000円	-/-/-/-	3DK	55.11m
5	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	築4年	3階建	4階	12.2万円	8000円	-/-/-/-	3DK	54.78m
6	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	築4年	3階建	3階	12.2万円	8000円	-/-/-/-	3DK	54.12m
7	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	築4年	3階建	3階	12.7万円	8000円	-/-/12.7万円/-	3DK	55.11m
8	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	築4年	3階建	4階	12.7万円	8000円	-/-/-/-	3DK	55.11m
9	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	築4年	3階建	1階	7.75万円	10000円	-/-/7.75万円/-	1K	25.57m
10	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	築4年	3階建	2階	7.9万円	10000円	7.9万円/-/-/-	1K	25.57m
11	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	築4年	3階建	2階	7.9万円	10000円	7.9万円/-/-/-	1K	25.57m
12	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	築4年	3階建	3階	7.95万円	10000円	-/-/7.95万円/-	1K	25.57m
