	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積	URL
0	アクタージュ新御徒町	東京都台東区小島２	都営大江戸線/新御徒町駅 歩2分	ＪＲ山手線/御徒町駅 歩12分	東京メトロ銀座線/稲荷町駅 歩10分	築2年	7階建	3階	13.4万円	6000円	13.4万円/13.4万円/-/-	1LDK	38.45m	https://suumo.jp/chintai/jnc_000041512704/?bc=100125872852
1	リファイズエクスクルーシヴ	東京都台東区清川２	東京メトロ日比谷線/南千住駅 歩7分	東京メトロ日比谷線/三ノ輪駅 歩10分	つくばエクスプレス/南千住駅 歩9分	築2年	7階建	8階	11万円	10000円	11万円/11万円/-/-	1LDK	40.11m	https://suumo.jp/chintai/jnc_000039539585/?bc=100125739389
2	リファイズエクスクルーシヴ	東京都台東区清川２	東京メトロ日比谷線/南千住駅 歩7分	東京メトロ日比谷線/三ノ輪駅 歩10分	つくばエクスプレス/南千住駅 歩9分	築2年	7階建	3階	11.5万円	10000円	11.5万円/11.5万円/-/-	1LDK	40.11m	https://suumo.jp/chintai/jnc_000039539585/?bc=100125739389
3	東京メトロ銀座線 上野駅 7階建 築2年	東京都台東区東上野２	東京メトロ銀座線/上野駅 歩2分	ＪＲ山手線/御徒町駅 歩8分	都営大江戸線/上野御徒町駅 歩6分	築2年	7階建	5階	14万円	10000円	14万円/14万円/-/-	1LDK	40.5m	https://suumo.jp/chintai/jnc_000041467397/?bc=100125787785
4	ジェノヴィア浅草橋グリーンヴェール	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩4分	都営大江戸線/蔵前駅 歩9分	ＪＲ総武線快速/馬喰町駅 歩9分	築2年	7階建	7階	8.85万円	10000円	-/8.85万円/-/-	1K	25.67m	https://suumo.jp/chintai/jnc_000041487295/?bc=100125783989
5	ジェノヴィア浅草橋グリーンヴェール	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩4分	都営大江戸線/蔵前駅 歩9分	ＪＲ総武線快速/馬喰町駅 歩9分	築2年	7階建	8階	14.15万円	15000円	-/14.15万円/-/-	2K	40.9m	https://suumo.jp/chintai/jnc_000041487295/?bc=100125783989
6	ライジングプレイス浅草四番館	東京都台東区千束１	つくばエクスプレス/浅草駅 歩5分	東京メトロ日比谷線/入谷駅 歩9分	東京メトロ銀座線/浅草駅 歩15分	築2年	7階建	10階	8.4万円	10000円	8.4万円/8.4万円/-/-	1K	25.54m	https://suumo.jp/chintai/jnc_000041482340/?bc=100125779095
7	ライジングプレイス浅草四番館	東京都台東区千束１	つくばエクスプレス/浅草駅 歩5分	東京メトロ日比谷線/入谷駅 歩9分	東京メトロ銀座線/浅草駅 歩15分	築2年	7階建	12階	13.5万円	10000円	13.5万円/13.5万円/-/-	1LDK	40.94m	https://suumo.jp/chintai/jnc_000041482340/?bc=100125779095
8	レオーネ上野入谷	東京都台東区入谷２	東京メトロ日比谷線/入谷駅 歩5分	ＪＲ山手線/鶯谷駅 歩14分	ＪＲ山手線/上野駅 歩17分	築2年	7階建	4階	8万円	15000円	-/8万円/-/-	1K	27.96m	https://suumo.jp/chintai/jnc_000024897406/?bc=100125641512
9	レオーネ上野入谷	東京都台東区入谷２	東京メトロ日比谷線/入谷駅 歩5分	ＪＲ山手線/鶯谷駅 歩14分	ＪＲ山手線/上野駅 歩17分	築2年	7階建	3階	10.8万円	8000円	10.8万円/10.8万円/-/-	ワンルーム	37.76m	https://suumo.jp/chintai/jnc_000024897406/?bc=100125641512
10	レオーネ上野入谷	東京都台東区入谷２	東京メトロ日比谷線/入谷駅 歩5分	ＪＲ山手線/鶯谷駅 歩14分	ＪＲ山手線/上野駅 歩17分	築2年	7階建	3階	10.9万円	8000円	10.9万円/10.9万円/-/-	ワンルーム	37.76m	https://suumo.jp/chintai/jnc_000024897406/?bc=100125641512
11	レオーネ上野入谷	東京都台東区入谷２	東京メトロ日比谷線/入谷駅 歩5分	ＪＲ山手線/鶯谷駅 歩14分	ＪＲ山手線/上野駅 歩17分	築2年	7階建	9階	11万円	15000円	-/11万円/-/-	ワンルーム	37.76m	https://suumo.jp/chintai/jnc_000024897406/?bc=100125641512
12	レオーネ上野入谷	東京都台東区入谷２	東京メトロ日比谷線/入谷駅 歩5分	ＪＲ山手線/鶯谷駅 歩14分	ＪＲ山手線/上野駅 歩17分	築2年	7階建	8階	11.5万円	15000円	-/11.5万円/-/-	ワンルーム	37.76m	https://suumo.jp/chintai/jnc_000024897406/?bc=100125641512
13	東京メトロ日比谷線 入谷駅 14階建 新築	東京都台東区入谷１	東京メトロ日比谷線/入谷駅 歩2分	ＪＲ山手線/鶯谷駅 歩10分	つくばエクスプレス/浅草駅 歩15分	築2年	7階建	8階	10.2万円	-	10.2万円/20.4万円/-/-	1K	27.69m	https://suumo.jp/chintai/jnc_000041423611/?bc=100125763480
14	東京メトロ日比谷線 入谷駅 14階建 新築	東京都台東区入谷１	東京メトロ日比谷線/入谷駅 歩2分	ＪＲ山手線/鶯谷駅 歩10分	つくばエクスプレス/浅草駅 歩15分	築2年	7階建	9階	10.3万円	-	10.3万円/20.6万円/-/-	1K	27.93m	https://suumo.jp/chintai/jnc_000041423611/?bc=100125763480
15	メトロステージ上野	東京都台東区下谷１	ＪＲ山手線/上野駅 歩7分	ＪＲ京浜東北線/鶯谷駅 歩9分	東京メトロ日比谷線/入谷駅 歩6分	築2年	7階建	8階	8.7万円	8000円	17.4万円/8.7万円/-/-	1K	25.84m	https://suumo.jp/chintai/jnc_000039653672/?bc=100119464851
16	メトロステージ上野	東京都台東区下谷１	ＪＲ山手線/上野駅 歩7分	ＪＲ京浜東北線/鶯谷駅 歩9分	東京メトロ日比谷線/入谷駅 歩6分	築2年	7階建	6階	8.7万円	8000円	17.4万円/8.7万円/-/-	1K	25.01m	https://suumo.jp/chintai/jnc_000039653672/?bc=100119464851
17	メトロステージ上野	東京都台東区下谷１	ＪＲ山手線/上野駅 歩7分	ＪＲ京浜東北線/鶯谷駅 歩9分	東京メトロ日比谷線/入谷駅 歩6分	築2年	7階建	2階	12.3万円	10000円	24.6万円/12.3万円/-/-	1LDK	41.69m	https://suumo.jp/chintai/jnc_000039653672/?bc=100119464851
18	メトロステージ上野	東京都台東区下谷１	ＪＲ山手線/上野駅 歩7分	ＪＲ京浜東北線/鶯谷駅 歩9分	東京メトロ日比谷線/入谷駅 歩6分	築2年	7階建	4階	12.5万円	10000円	25万円/12.5万円/-/-	1LDK	41.69m	https://suumo.jp/chintai/jnc_000039653672/?bc=100119464851
19	メトロステージ上野	東京都台東区下谷１	ＪＲ山手線/上野駅 歩7分	ＪＲ京浜東北線/鶯谷駅 歩9分	東京メトロ日比谷線/入谷駅 歩6分	築2年	7階建	9階	13万円	10000円	26万円/13万円/-/-	1LDK	41.69m	https://suumo.jp/chintai/jnc_000039653672/?bc=100119464851
20	メトロステージ上野	東京都台東区下谷１	ＪＲ山手線/上野駅 歩7分	ＪＲ京浜東北線/鶯谷駅 歩9分	東京メトロ日比谷線/入谷駅 歩6分	築2年	7階建	8階	15.5万円	10000円	31万円/15.5万円/-/-	2LDK	53.35m	https://suumo.jp/chintai/jnc_000039653672/?bc=100119464851
21	メトロステージ上野	東京都台東区下谷１	ＪＲ山手線/上野駅 歩7分	ＪＲ京浜東北線/鶯谷駅 歩9分	東京メトロ日比谷線/入谷駅 歩6分	築2年	7階建	9階	15.6万円	10000円	31.2万円/15.6万円/-/-	2LDK	53.35m	https://suumo.jp/chintai/jnc_000039653672/?bc=100119464851
22	コンフォリア上野入谷	東京都台東区竜泉２	東京メトロ日比谷線/入谷駅 歩6分	ＪＲ山手線/鶯谷駅 歩14分	ＪＲ山手線/上野駅 歩21分	築2年	7階建	8階	9.1万円	8000円	9.1万円/-/-/-	1K	25.97m	https://suumo.jp/chintai/jnc_000040600403/?bc=100125701642
23	コンフォリア上野入谷	東京都台東区竜泉２	東京メトロ日比谷線/入谷駅 歩6分	ＪＲ山手線/鶯谷駅 歩14分	ＪＲ山手線/上野駅 歩21分	築2年	7階建	8階	9.6万円	8000円	9.6万円/-/-/-	1K	25.97m	https://suumo.jp/chintai/jnc_000040600403/?bc=100125701642
24	コンフォリア上野入谷	東京都台東区竜泉２	東京メトロ日比谷線/入谷駅 歩6分	ＪＲ山手線/鶯谷駅 歩14分	ＪＲ山手線/上野駅 歩21分	築2年	7階建	7階	17.6万円	12000円	17.6万円/-/-/-	1LDK	50.36m	https://suumo.jp/chintai/jnc_000040600403/?bc=100125701642
25	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ山手線/秋葉原駅 歩9分	都営浅草線/人形町駅 歩12分	築2年	7階建	8階	9.8万円	12000円	-/-/9.8万円/-	1K	25.03m	https://suumo.jp/chintai/jnc_000040611808/?bc=100122835751
