	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積
0	東京メトロ日比谷線 上野駅 7階建 築2年	東京都台東区東上野２	東京メトロ日比谷線/上野駅 歩2分	京成本線/京成上野駅 歩8分	都営大江戸線/上野御徒町駅 歩9分	築5年	12階建	5階	14万円	10000円	14万円/14万円/-/-	1LDK	40.5m
1	ジェノヴィア浅草橋グリーンヴェール	東京都台東区柳橋２	ＪＲ総武線/浅草橋駅 歩4分	都営浅草線/東日本橋駅 歩10分	ＪＲ総武線/両国駅 歩14分	築5年	12階建	7階	8.85万円	10000円	-/8.85万円/-/-	1K	25.67m
2	ジェノヴィア浅草橋グリーンヴェール	東京都台東区柳橋２	ＪＲ総武線/浅草橋駅 歩4分	都営浅草線/東日本橋駅 歩10分	ＪＲ総武線/両国駅 歩14分	築5年	12階建	8階	14.15万円	15000円	-/14.15万円/-/-	2K	40.9m
3	ライジングプレイス浅草四番館	東京都台東区千束１	つくばエクスプレス/浅草駅 歩5分	東京メトロ日比谷線/入谷駅 歩9分	東京メトロ銀座線/田原町駅 歩13分	築5年	12階建	10階	8.4万円	10000円	8.4万円/8.4万円/-/-	1K	25.54m
4	ライジングプレイス浅草四番館	東京都台東区千束１	つくばエクスプレス/浅草駅 歩5分	東京メトロ日比谷線/入谷駅 歩9分	東京メトロ銀座線/田原町駅 歩13分	築5年	12階建	12階	13.5万円	10000円	13.5万円/13.5万円/-/-	1LDK	40.94m
5	東京メトロ日比谷線 入谷駅 14階建 新築	東京都台東区入谷１	東京メトロ日比谷線/入谷駅 歩2分	ＪＲ山手線/鶯谷駅 歩10分	つくばエクスプレス/浅草駅 歩15分	築5年	12階建	8階	10.2万円	-	10.2万円/20.4万円/-/-	1K	27.69m
6	東京メトロ日比谷線 入谷駅 14階建 新築	東京都台東区入谷１	東京メトロ日比谷線/入谷駅 歩2分	ＪＲ山手線/鶯谷駅 歩10分	つくばエクスプレス/浅草駅 歩15分	築5年	12階建	9階	10.3万円	-	10.3万円/20.6万円/-/-	1K	27.93m
7	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築5年	12階建	8階	9.8万円	12000円	-/-/9.8万円/-	1K	25.03m
8	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築5年	12階建	8階	10.7万円	12000円	-/-/21.4万円/21.4万円	1K	25.03m
9	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築5年	12階建	8階	10.7万円	12000円	-/-/21.4万円/21.4万円	1K	25.01m
10	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築5年	12階建	9階	10.9万円	12000円	-/-/21.8万円/-	1K	25.04m
11	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築5年	12階建	8階	11.7万円	8000円	-/-/-/-	1K	25.01m
12	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築5年	12階建	8階	11.7万円	12000円	-/-/-/-	1K	25.04m
13	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築5年	12階建	9階	11.9万円	12000円	-/-/-/-	1K	25.04m
14	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築5年	12階建	13階	12.9万円	12000円	-/-/25.8万円/25.8万円	1LDK	30.19m
15	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築5年	12階建	13階	12.9万円	12000円	-/-/25.8万円/-	1K	30.19m
16	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築5年	12階建	13階	13.9万円	12000円	-/-/-/-	1LDK	30.19m
17	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築5年	12階建	5階	17.5万円	12000円	-/-/35万円/-	1LDK	45.81m
18	プレミアムキューブG上野	東京都台東区元浅草１	ＪＲ山手線/上野駅 歩10分	東京メトロ銀座線/稲荷町駅 歩3分	都営大江戸線/新御徒町駅 歩4分	築5年	12階建	1階	9.05万円	15000円	9.05万円/9.05万円/-/-	1K	25.82m
19	プレミアムキューブG上野	東京都台東区元浅草１	ＪＲ山手線/上野駅 歩10分	東京メトロ銀座線/稲荷町駅 歩3分	都営大江戸線/新御徒町駅 歩4分	築5年	12階建	2階	9.35万円	15000円	9.35万円/9.35万円/-/-	1K	25.82m
20	プレミアムキューブG上野	東京都台東区元浅草１	ＪＲ山手線/上野駅 歩10分	東京メトロ銀座線/稲荷町駅 歩3分	都営大江戸線/新御徒町駅 歩4分	築5年	12階建	3階	9.4万円	15000円	9.4万円/9.4万円/-/9.4万円	1K	25.82m
21	プレミアムキューブG上野	東京都台東区元浅草１	ＪＲ山手線/上野駅 歩10分	東京メトロ銀座線/稲荷町駅 歩3分	都営大江戸線/新御徒町駅 歩4分	築5年	12階建	1階	9.55万円	15000円	-/-/-/-	1K	25.82m
22	プレミアムキューブG上野	東京都台東区元浅草１	ＪＲ山手線/上野駅 歩10分	東京メトロ銀座線/稲荷町駅 歩3分	都営大江戸線/新御徒町駅 歩4分	築5年	12階建	2階	9.85万円	15000円	-/-/-/-	1K	25.82m
23	プレミアムキューブG上野	東京都台東区元浅草１	ＪＲ山手線/上野駅 歩10分	東京メトロ銀座線/稲荷町駅 歩3分	都営大江戸線/新御徒町駅 歩4分	築5年	12階建	9階	14.2万円	15000円	14.2万円/-/-/-	1LDK	40.25m
24	GRACIA MINOWA	東京都台東区三ノ輪１	東京メトロ日比谷線/三ノ輪駅 歩1分	都電荒川線/三ノ輪橋駅 歩5分	ＪＲ常磐線/南千住駅 歩17分	築5年	12階建	2階	7万円	5000円	7万円/-/-/-	ワンルーム	13.85m
25	アーバネックス秋葉原イースト	東京都台東区浅草橋５	ＪＲ山手線/秋葉原駅 歩9分	都営浅草線/東日本橋駅 歩12分	都営浅草線/浅草橋駅 歩5分	築5年	12階建	3階	10.3万円	10000円	10.3万円/10.3万円/-/-	1K	24.65m
26	アーバネックス秋葉原イースト	東京都台東区浅草橋５	ＪＲ山手線/秋葉原駅 歩9分	都営浅草線/東日本橋駅 歩12分	都営浅草線/浅草橋駅 歩5分	築5年	12階建	3階	10.4万円	10000円	10.4万円/10.4万円/-/-	1K	24.65m
27	アーバネックス秋葉原イースト	東京都台東区浅草橋５	ＪＲ山手線/秋葉原駅 歩9分	都営浅草線/東日本橋駅 歩12分	都営浅草線/浅草橋駅 歩5分	築5年	12階建	6階	10.4万円	10000円	10.4万円/10.4万円/-/-	1K	24.65m
28	アーバネックス秋葉原イースト	東京都台東区浅草橋５	ＪＲ山手線/秋葉原駅 歩9分	都営浅草線/東日本橋駅 歩12分	都営浅草線/浅草橋駅 歩5分	築5年	12階建	8階	10.5万円	10000円	10.5万円/10.5万円/-/-	1K	24.65m
29	アーバネックス秋葉原イースト	東京都台東区浅草橋５	ＪＲ山手線/秋葉原駅 歩9分	都営浅草線/東日本橋駅 歩12分	都営浅草線/浅草橋駅 歩5分	築5年	12階建	8階	10.8万円	10000円	10.8万円/10.8万円/-/-	1K	24.65m
30	アーバネックス秋葉原イースト	東京都台東区浅草橋５	ＪＲ山手線/秋葉原駅 歩9分	都営浅草線/東日本橋駅 歩12分	都営浅草線/浅草橋駅 歩5分	築5年	12階建	9階	20万円	15000円	20万円/20万円/-/-	2LDK	51.13m
31	ＪＲ山手線 秋葉原駅 12階建 築12年	東京都千代田区岩本町３	ＪＲ山手線/秋葉原駅 歩5分	ＪＲ総武線快速/馬喰町駅 歩7分	都営新宿線/岩本町駅 歩3分	築5年	12階建	8階	9.9万円	-	9.9万円/9.9万円/-/-	ワンルーム	31.01m
32	ＪＲ山手線 秋葉原駅 12階建 築12年	東京都千代田区岩本町３	ＪＲ山手線/秋葉原駅 歩5分	ＪＲ総武線快速/馬喰町駅 歩7分	都営新宿線/岩本町駅 歩3分	築5年	12階建	8階	9.9万円	-	9.9万円/9.9万円/-/-	ワンルーム	31.01m
33	ライオンズ台東入谷レフィール	東京都台東区下谷２	ＪＲ山手線/鶯谷駅 歩7分	東京メトロ日比谷線/入谷駅 歩3分	東京メトロ日比谷線/三ノ輪駅 歩16分	築5年	12階建	2階	18万円	10000円	18万円/18万円/-/-	3LDK	62.72m
34	グラーナ上野	東京都台東区北上野１	東京メトロ日比谷線/入谷駅 歩3分	ＪＲ山手線/上野駅 歩9分	ＪＲ山手線/鶯谷駅 歩9分	築5年	12階建	9階	20.1万円	9000円	20.1万円/20.1万円/-/-	3LDK	66m
35	ベルドミール日比	東京都台東区根岸３	ＪＲ山手線/鶯谷駅 歩5分	東京メトロ日比谷線/入谷駅 歩6分	ＪＲ山手線/日暮里駅 歩13分	築5年	12階建	1階	13.8万円	10000円	13.8万円/-/-/-	2LDK	55.69m
36	ベルドミール日比	東京都台東区根岸３	ＪＲ山手線/鶯谷駅 歩5分	東京メトロ日比谷線/入谷駅 歩6分	ＪＲ山手線/日暮里駅 歩13分	築5年	12階建	3階	13.8万円	12000円	13.8万円/-/-/-	2LDK	55.69m
37	パークアクシス元浅草ステージ	東京都台東区元浅草１	都営大江戸線/新御徒町駅 歩2分	東京メトロ銀座線/稲荷町駅 歩7分	ＪＲ山手線/御徒町駅 歩12分	築5年	12階建	5階	13.4万円	8000円	26.8万円/-/-/-	1DK	31.87m
38	パークアクシス元浅草ステージ	東京都台東区元浅草１	都営大江戸線/新御徒町駅 歩2分	東京メトロ銀座線/稲荷町駅 歩7分	ＪＲ山手線/御徒町駅 歩12分	築5年	12階建	3階	13.4万円	8000円	26.8万円/13.4万円/-/-	1DK	31.67m
39	パークアクシス元浅草ステージ	東京都台東区元浅草１	都営大江戸線/新御徒町駅 歩2分	東京メトロ銀座線/稲荷町駅 歩7分	ＪＲ山手線/御徒町駅 歩12分	築5年	12階建	5階	13.8万円	8000円	27.6万円/13.8万円/-/-	1DK	31.87m
40	パークアクシス元浅草ステージ	東京都台東区元浅草１	都営大江戸線/新御徒町駅 歩2分	東京メトロ銀座線/稲荷町駅 歩7分	ＪＲ山手線/御徒町駅 歩12分	築5年	12階建	16階	14.4万円	8000円	28.8万円/14.4万円/-/-	1LDK	34.63m
41	パークアクシス元浅草ステージ	東京都台東区元浅草１	都営大江戸線/新御徒町駅 歩2分	東京メトロ銀座線/稲荷町駅 歩7分	ＪＲ山手線/御徒町駅 歩12分	築5年	12階建	2階	16.8万円	10000円	33.6万円/16.8万円/-/-	2LDK	47.42m
42	パークアクシス元浅草ステージ	東京都台東区元浅草１	都営大江戸線/新御徒町駅 歩2分	東京メトロ銀座線/稲荷町駅 歩7分	ＪＲ山手線/御徒町駅 歩12分	築5年	12階建	11階	18.5万円	10000円	37万円/37万円/-/-	2LDK	47.42m
43	パークアクシス元浅草ステージ	東京都台東区元浅草１	都営大江戸線/新御徒町駅 歩2分	東京メトロ銀座線/稲荷町駅 歩7分	ＪＲ山手線/御徒町駅 歩12分	築5年	12階建	10階	18.7万円	10000円	37.4万円/37.4万円/-/-	2LDK	50.13m
44	パークアクシス元浅草ステージ	東京都台東区元浅草１	都営大江戸線/新御徒町駅 歩2分	東京メトロ銀座線/稲荷町駅 歩7分	ＪＲ山手線/御徒町駅 歩12分	築5年	12階建	3階	18.7万円	10000円	37.4万円/37.4万円/-/-	2LDK	50.13m
45	パークアクシス元浅草ステージ	東京都台東区元浅草１	都営大江戸線/新御徒町駅 歩2分	東京メトロ銀座線/稲荷町駅 歩7分	ＪＲ山手線/御徒町駅 歩12分	築5年	12階建	15階	19万円	10000円	38万円/38万円/-/-	2LDK	47.42m
46	パークアクシス元浅草ステージ	東京都台東区元浅草１	都営大江戸線/新御徒町駅 歩2分	東京メトロ銀座線/稲荷町駅 歩7分	ＪＲ山手線/御徒町駅 歩12分	築5年	12階建	14階	19.4万円	10000円	38.8万円/38.8万円/-/-	2LDK	51.35m
47	パークアクシス元浅草ステージ	東京都台東区元浅草１	都営大江戸線/新御徒町駅 歩2分	東京メトロ銀座線/稲荷町駅 歩7分	ＪＲ山手線/御徒町駅 歩12分	築5年	12階建	15階	19.7万円	10000円	39.4万円/39.4万円/-/-	2LDK	52.9m
48	パークアクシス浅草橋	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩1分	都営浅草線/蔵前駅 歩8分	ＪＲ総武線/両国駅 歩14分	築5年	12階建	13階	9.8万円	8000円	9.8万円/9.8万円/-/-	ワンルーム	22.94m
49	パークアクシス浅草橋	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩1分	都営浅草線/蔵前駅 歩8分	ＪＲ総武線/両国駅 歩14分	築5年	12階建	5階	16.7万円	10000円	16.7万円/16.7万円/-/-	2LDK	46.88m
50	パークアクシス浅草橋	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩1分	都営浅草線/蔵前駅 歩8分	ＪＲ総武線/両国駅 歩14分	築5年	12階建	8階	16.9万円	10000円	16.9万円/16.9万円/-/-	2LDK	46.88m
51	パークアクシス浅草橋	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩1分	都営浅草線/蔵前駅 歩8分	ＪＲ総武線/両国駅 歩14分	築5年	12階建	10階	17.5万円	10000円	17.5万円/17.5万円/-/-	2LDK	46.88m
52	パークアクシス浅草橋	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩1分	都営浅草線/蔵前駅 歩8分	ＪＲ総武線/両国駅 歩14分	築5年	12階建	14階	17.8万円	10000円	17.8万円/17.8万円/-/-	2LDK	46.31m
53	パークアクシス浅草橋	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩1分	都営浅草線/蔵前駅 歩8分	ＪＲ総武線/両国駅 歩14分	築5年	12階建	2階	18.9万円	10000円	18.9万円/18.9万円/-/-	2LDK	55.91m
54	都営浅草線 浅草橋駅 地下1地上14階建 築11年	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩1分	都営浅草線/蔵前駅 歩6分	ＪＲ総武線/両国駅 歩14分	築5年	12階建	13階	9.8万円	8000円	9.8万円/9.8万円/-/-	ワンルーム	22.94m
55	都営浅草線 浅草橋駅 地下1地上14階建 築11年	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩1分	都営浅草線/蔵前駅 歩6分	ＪＲ総武線/両国駅 歩14分	築5年	12階建	13階	9.8万円	8000円	9.8万円/9.8万円/-/-	ワンルーム	22.94m
56	都営浅草線 浅草橋駅 地下1地上14階建 築11年	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩1分	都営浅草線/蔵前駅 歩6分	ＪＲ総武線/両国駅 歩14分	築5年	12階建	5階	16.7万円	10000円	16.7万円/16.7万円/-/-	2LDK	46.88m
57	都営浅草線 浅草橋駅 地下1地上14階建 築11年	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩1分	都営浅草線/蔵前駅 歩6分	ＪＲ総武線/両国駅 歩14分	築5年	12階建	5階	16.7万円	10000円	16.7万円/16.7万円/-/-	2LDK	46.88m
58	都営浅草線 浅草橋駅 地下1地上14階建 築11年	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩1分	都営浅草線/蔵前駅 歩6分	ＪＲ総武線/両国駅 歩14分	築5年	12階建	8階	16.9万円	10000円	16.9万円/16.9万円/-/-	2LDK	46.88m
59	都営浅草線 浅草橋駅 地下1地上14階建 築11年	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩1分	都営浅草線/蔵前駅 歩6分	ＪＲ総武線/両国駅 歩14分	築5年	12階建	10階	17.5万円	10000円	17.5万円/17.5万円/-/-	2LDK	46.88m
60	都営浅草線 浅草橋駅 地下1地上14階建 築11年	東京都台東区柳橋２	都営浅草線/浅草橋駅 歩1分	都営浅草線/蔵前駅 歩6分	ＪＲ総武線/両国駅 歩14分			14階	17.8万円	10000円	17.8万円/17.8万円/-/-	2LDK	46.31m
61	モダーヴ西日暮里	東京都台東区谷中３	ＪＲ山手線/西日暮里駅 歩4分	東京メトロ千代田線/千駄木駅 歩7分	東京メトロ南北線/本駒込駅 歩17分			6階	18.5万円	10000円	37万円/18.5万円/-/-	2LDK	81.52m
62	日興パレス三番町	東京都千代田区三番町	東京メトロ半蔵門線/半蔵門駅 歩8分	東京メトロ東西線/九段下駅 歩11分	ＪＲ中央線/市ヶ谷駅 歩11分			4階	6.9万円	-	6.9万円/-/-/-	ワンルーム	16.33m
63	CQレジデンシャル上野	東京都台東区下谷１	ＪＲ山手線/上野駅 歩9分	東京メトロ日比谷線/入谷駅 歩2分	ＪＲ山手線/鶯谷駅 歩6分			3階	17.5万円	-	17.5万円/17.5万円/-/-	2LDK	52.09m
64	CQレジデンシャル上野	東京都台東区下谷１	ＪＲ山手線/上野駅 歩9分	東京メトロ日比谷線/入谷駅 歩2分	ＪＲ山手線/鶯谷駅 歩6分			3階	17.5万円	-	17.5万円/17.5万円/-/-	2LDK	52.09m
65	CQレジデンシャル上野	東京都台東区下谷１	ＪＲ山手線/上野駅 歩9分	東京メトロ日比谷線/入谷駅 歩2分	ＪＲ山手線/鶯谷駅 歩6分			5階	18万円	5000円	18万円/-/-/-	2LDK	52.09m
