	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積	立地11	立地12	立地21	立地22	立地31	立地32	敷金	礼金	保証金	敷引,償却	賃料+管理費	敷/礼/保証金	階1	階2	間取りDK	間取りK	間取りL	間取りS
0	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	4.0	3.0	4階	112000.0	8000	-/-/11.2万円/-	3	54.65	東京メトロ千代田線/綾瀬駅	10	つくばエクスプレス/青井駅	10.0	ＪＲ常磐線/綾瀬駅	10.0	0.0	0.0	112000.0	-	120000.0	112000.0	4		1	0	0	0
1	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	4.0	3.0	4階	112000.0	8000	-/-/-/-	3	53.76	東京メトロ千代田線/綾瀬駅	10	つくばエクスプレス/青井駅	10.0	ＪＲ常磐線/綾瀬駅	10.0	0.0	0.0	0.0	-	120000.0	0.0	4		1	0	0	0
2	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	4.0	3.0	3階	114000.0	8000	-/-/-/-	3	54.78	東京メトロ千代田線/綾瀬駅	10	つくばエクスプレス/青井駅	10.0	ＪＲ常磐線/綾瀬駅	10.0	0.0	0.0	0.0	-	122000.0	0.0	3		1	0	0	0
3	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	4.0	3.0	3階	115000.0	8000	-/-/-/-	3	56.16	東京メトロ千代田線/綾瀬駅	10	つくばエクスプレス/青井駅	10.0	ＪＲ常磐線/綾瀬駅	10.0	0.0	0.0	0.0	-	123000.0	0.0	3		1	0	0	0
4	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	4.0	3.0	4階	122000.0	8000	-/-/-/-	3	55.11	東京メトロ千代田線/綾瀬駅	10	つくばエクスプレス/青井駅	10.0	ＪＲ常磐線/綾瀬駅	10.0	0.0	0.0	0.0	-	130000.0	0.0	4		1	0	0	0
5	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	4.0	3.0	4階	122000.0	8000	-/-/-/-	3	54.78	東京メトロ千代田線/綾瀬駅	10	つくばエクスプレス/青井駅	10.0	ＪＲ常磐線/綾瀬駅	10.0	0.0	0.0	0.0	-	130000.0	0.0	4		1	0	0	0
6	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	4.0	3.0	3階	122000.0	8000	-/-/-/-	3	54.12	東京メトロ千代田線/綾瀬駅	10	つくばエクスプレス/青井駅	10.0	ＪＲ常磐線/綾瀬駅	10.0	0.0	0.0	0.0	-	130000.0	0.0	3		1	0	0	0
7	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	4.0	3.0	3階	127000.0	8000	-/-/12.7万円/-	3	55.11	東京メトロ千代田線/綾瀬駅	10	つくばエクスプレス/青井駅	10.0	ＪＲ常磐線/綾瀬駅	10.0	0.0	0.0	127000.0	-	135000.0	127000.0	3		1	0	0	0
8	アドラブール綾瀬	東京都足立区綾瀬６	東京メトロ千代田線/綾瀬駅 歩10分	つくばエクスプレス/青井駅 歩10分	ＪＲ常磐線/綾瀬駅 歩10分	4.0	3.0	4階	127000.0	8000	-/-/-/-	3	55.11	東京メトロ千代田線/綾瀬駅	10	つくばエクスプレス/青井駅	10.0	ＪＲ常磐線/綾瀬駅	10.0	0.0	0.0	0.0	-	135000.0	0.0	4		1	0	0	0
9	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	1階	77500.0	10000	-/-/7.75万円/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	0.0	0.0	77500.0	-	87500.0	77500.0	1		0	1	0	0
10	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	2階	79000.0	10000	7.9万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	79000.0	0.0	0.0	-	89000.0	79000.0	2		0	1	0	0
11	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	2階	79000.0	10000	7.9万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	79000.0	0.0	0.0	-	89000.0	79000.0	2		0	1	0	0
12	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	3階	79500.0	10000	-/-/7.95万円/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	0.0	0.0	79500.0	-	89500.0	79500.0	3		0	1	0	0
13	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	5階	80500.0	10000	8.05万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	80500.0	0.0	0.0	-	90500.0	80500.0	5		0	1	0	0
14	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	5階	80500.0	10000	-/-/8.05万円/8.05万円	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	0.0	0.0	80500.0	8.05万円	90500.0	80500.0	5		0	1	0	0
15	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	6階	81000.0	10000	8.1万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	81000.0	0.0	0.0	-	91000.0	81000.0	6		0	1	0	0
16	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	6階	81000.0	10000	8.1万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	81000.0	0.0	0.0	-	91000.0	81000.0	6		0	1	0	0
17	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	6階	81000.0	10000	-/-/8.1万円/8.1万円	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	0.0	0.0	81000.0	8.1万円	91000.0	81000.0	6		0	1	0	0
18	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	6階	81500.0	10000	-/-/8.15万円/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	0.0	0.0	81500.0	-	91500.0	81500.0	6		0	1	0	0
19	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	6階	81500.0	10000	8.15万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	81500.0	0.0	0.0	-	91500.0	81500.0	6		0	1	0	0
20	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	7階	82000.0	10000	-/-/8.2万円/8.2万円	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	0.0	0.0	82000.0	8.2万円	92000.0	82000.0	7		0	1	0	0
21	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	8階	82000.0	10000	8.2万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	82000.0	0.0	0.0	-	92000.0	82000.0	8		0	1	0	0
22	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	8階	82000.0	10000	8.2万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	82000.0	0.0	0.0	-	92000.0	82000.0	8		0	1	0	0
23	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	8階	82000.0	10000	8.2万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	82000.0	0.0	0.0	-	92000.0	82000.0	8		0	1	0	0
24	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	8階	82000.0	10000	8.2万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	82000.0	0.0	0.0	-	92000.0	82000.0	8		0	1	0	0
25	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	8階	82000.0	10000	-/-/8.2万円/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	0.0	0.0	82000.0	-	92000.0	82000.0	8		0	1	0	0
26	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	8階	82500.0	10000	8.25万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	82500.0	0.0	0.0	-	92500.0	82500.0	8		0	1	0	0
27	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	9階	82500.0	10000	-/-/8.25万円/8.25万円	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	0.0	0.0	82500.0	8.25万円	92500.0	82500.0	9		0	1	0	0
28	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	8階	82500.0	10000	8.25万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	82500.0	0.0	0.0	-	92500.0	82500.0	8		0	1	0	0
29	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分	4.0	3.0	2階	83000.0	10000	-/-/8.3万円/8.3万円	1	29.75	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	0.0	0.0	83000.0	8.3万円	93000.0	83000.0	2		0	1	0	0
30	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分			10階	83000.0	10000	8.3万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	83000.0	0.0	0.0	-	93000.0	83000.0	10		0	1	0	0
31	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分			9階	83000.0	10000	-/-/8.3万円/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	0.0	0.0	83000.0	-	93000.0	83000.0	9		0	1	0	0
